CID,Isomeric SMILES
11839287,COCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4
24982027,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N(C)C2CCN(CC2)C)OC3=CC=C(C=C3)Br
3270222,CCCC(=O)N(C1CC(C(C1(C#N)C#N)(C#N)C#N)C)N(C)C
5883623,C1=CC(=CC=C1N/N=C(/C#N)\C(=S)N)OC(F)(F)F
2974206,COC1=C(C=C2C(=C1)C=CN=C2C(=O)C3=CC(=C(C=C3Br)OC)OC)OC
24747653,CCCCCCCCCCOC(=O)CN1C2=CC=CC=C2[N+](=C1COC3=CC=C(C=C3)Cl)C.[Cl-]
1567094,COC1=C(C=CC(=C1)/C=C\2/C(=O)N(C(=S)S2)NC(=O)C3=CC(=C(C=C3)O)OC)O
1405137,C1COCCN1C2=C(C(=O)C3=CC=CC=C3C2=O)N4C5=CC=CC=C5N=N4
18108400,CCOC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)N3CC(OC(C3)C)C
1901314,CCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)OCC)NC(=O)C4=CC=C(O4)Br
82533,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC3=C2N=CC=C3
2460938,CC1=CC(=C(C=C1)O)C(=O)C2=CN(C(=O)C(=C2)C#N)C3=NC=CS3
16192954,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=CC=C4C)C)C(C)C.[Cl-]
4466069,COC1=CC=CC=C1NS(=O)(=O)C2=CC=CC(=C2)NC(=O)NC3=CC=C(C=C3)Cl
5736540,CCN\1C2=C(C=C(C=C2)S(=O)(=O)N(C)C)N(/C1=C\C=C/3\C(=O)N(C(=S)S3)CC=C)CC
24792817,C1CCC2=NC3=C(C=C(C=C3)NC(=O)C4=C(C=CC(=C4F)[N+](=O)[O-])F)C(=O)N2CC1
16446370,CC1=CC=C(C=C1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3
2189900,COCCN1C(=O)/C(=C/C2=CC=C(C=C2)N3CCCC3)/SC1=S
135455061,CC1=CC(=NC(=N1)C2=CC=CC=C2O)N/N=C/C3=C(C(=CC=C3)OC)O
5904529,CCN(CC)C1=CC=C(C=C1)/C=C\2/C(=N)N3C(=NC2=O)SC(=N3)CC(=O)N4CCCC4
9499902,COC(=O)[C@@H]1[C@H](N(N(C12C3=CC=CC=C3C4=CC=CC=C24)C5=CC=C(C=C5)Cl)C#N)C(=O)OC
16306881,CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)CCN4C(=O)C5(CCCC5)NC4=O
1619531,CC1=CC(=C(C=C1)C2=CC=C(O2)/C=C\3/C(=NOC3=O)C4=CC=CC=C4)[N+](=O)[O-]
1790544,CC1=CC(=CC=C1)C(=O)NC(=S)NNC(=O)C2=CC=CC=C2Cl
4247467,CC1=CC(=NC2=C1C(=O)N(S2)CC(=O)NC3=C(C(=CC=C3)Cl)C)C
24892559,CCC1=CC2=C(C=C1)N=C(S2)N(CCCN(C)C)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4.Cl
1151859,CCOC(=O)CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
135547289,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)NC(=NC3=CC=CC=C3OC)S2
3689411,C1=CC=C(C=C1)CCNC(=O)C(C2=CC=CS2)N(C3=CC=C(C=C3)Cl)C(=O)CCl
7634362,CCOC(=O)C1=C(NC(=C1C)C(=O)OCC(=O)NC2=C(C=CS2)C(=O)N)C
6032979,CC1=CC=C(C=C1)NC2=C/C(=N/S(=O)(=O)C3=CC=CS3)/C4=CC=CC=C4C2=O
4089709,C1=CC=C2C(=C1)C(=O)N(S2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O
970535,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC=C(C=C2)OC(F)(F)F
5035394,CC1(C(=O)N(C(=O)N1)CC(=O)NC2=CC=C(C=C2)OC(F)F)C3=CC=C(C=C3)OC(F)F
2187445,CC1=C(C=CC(=C1)N2CCCC2)/C=C\3/C(=O)N(C(=S)N3)C
1046754,C1=CC(=CN=C1)C(=O)NC(C(F)(F)F)(C(F)(F)F)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-]
900031,CC1=CC=C(C=C1)N(C2=CN(C3=CC=CC=C32)C(=O)C)C(=O)CCl
804043,CCOC1=CC=C(C=C1)NC(=S)NC2=CC3=NSN=C3C=C2
16395151,C[C@]12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5=CC(CC[C@]35/C=N/O)O
16238272,CC1=CC(=NC(=N1)/N=C(\N)/NC2=CC=C(C=C2)SC(F)F)C
4641,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
24892075,CN(C)CCCN(C1=NC2=C(S1)C=CC(=C2)OC)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4.Cl
6880175,C1=COC(=C1)C(=O)N/N=C/C2=C(N(C(=O)S2)CC3=CC=C(C=C3)Br)Cl
67275,CC1=C(C=C(C=C1)Cl)NC(=O)C2=CC3=CC=CC=C3C=C2O
16014472,CC1=CC(=CC=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NCC3=CC=CC=C3)Cl
1477595,C1=CC=C(C=C1)S(=O)(=O)C2=NC=C(C=C2)[N+](=O)[O-]
18105323,CCOC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)N3CCCC(C3)C
3216690,COC1=CC=CC(=C1)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C#C
5733602,CC\1=NOC(=O)/C1=C\C2=CC=C(O2)C3=C(C=CC(=C3)Cl)Cl
16196382,CC1(CC(=CC(=[N+]2CCCCC2)C1)N(C)CC3=CC=CC=C3)C.[I-]
1472329,CC1=CC=C(C=C1)S(=O)(=O)C2=NC=C(C=C2)[N+](=O)[O-]
9116001,C1COC2=C(C=C(C=C2)C(=O)NCCC3=CC=CC=C3)OC1
3473830,CC(=O)N1C=C(C2=CC=CC=C21)N(C3=CC=C(C=C3)[N+](=O)[O-])C(=O)CCl
135498049,C1=CC=C(C=C1)C2=C(SC(=N2)N)N=NC3=CC=CC=C3Cl.Br
11839273,COCCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4
2904872,CN1C=CN=C1C(C2=C(C=CC3=CC=CC=C32)OC)O
135408469,C1=CC=C2C(=C1)NC(=O)C(=N2)/C=C(/C3=CC=CS3)\O
6524080,CCOC1=C(C=CC(=C1)/C=C/2\CCCC3=C(C4=CC=CC=C4N=C23)C(=O)O)OC
5856713,CCC1=NN2C(=N)/C(=C/C3=C(N(C(=C3)C)CC4=CC=CC=C4)C)/C(=O)N=C2S1
23724194,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCC4=CC(=C(C=C4)O)O.Cl
832817,C1=CC(=CC(=C1)N2C(=O)C3=C4C(=C(C=C3)N)C=CC=C4C2=O)N
16338356,COC1=C(C=C(C=C1)/C=C\2/C(=O)/C(=C/C3=CC(=C(C=C3)OC)O)/CN(C2)CC4=CC=CC=C4)O
1481943,C1CN(CCC1C(=O)N)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl
135472701,CC1(CC(=C(C(=O)C1)C=NC2=C(C=C(C=C2)C(=O)C3=CC=CC=C3)N=CC4=C(CC(CC4=O)(C)C)O)O)C
16330874,C1CSC2=CC=CC=C2C1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
5770968,COC1=CC(=C(C=C1)C(=O)/C=C/C(=O)N(CC2=CC=CS2)CC(=O)NC3CCCCC3)O
788928,COC1=CC(=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2)OC
4612059,COC1=CC=CC=C1NS(=O)(=O)C2=CC=CC(=C2)N3C(=C(C4=CC=CC=C4C3=O)C=NC5=CC=CC=C5C(=O)O)O
2407524,COC1=CC(=CC(=C1O)OC)/C=C\2/C(=O)/C(=C/C3=CC(=C(C(=C3)OC)O)OC)/CC2
16014341,CC1=CC=C(C=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)C(C)C)Cl
663900,CC1=CC=CC=C1CS(=O)(=O)C2=NN=C(O2)[C@H](CC(C)C)NC(=O)OC(C)(C)C
3236803,CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
1380879,C1=CC=NC(=C1)NC2=NC3=C(C=CC=C3O)C=C2
1218173,C1=CC=NC(=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O
848023,CC1=CC(=NC(=C1C#N)SCC2=NN=C(O2)C3=CC=CC=C3)C
6371672,CC1C/C(=C\C2=CC=CN2C)/C(=O)/C(=C\C3=CC=CN3C)/C1
971803,C1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)OC(F)F)C(F)(F)F
3340390,C1=CC=C(C=C1)P(=O)(CCCCCCCCCP(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4
16192614,CCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br
1790616,CC1=CC=CC=C1C(=O)NNC(=S)NC(=O)C2=C(C=C(C=C2)Cl)Cl
659453,C1CN(CCN1C2=CC=CC=C2)C3=NC=NC4=C3NC5=C4C=C(C=C5)F
16031868,CC(=O)N1CCCC2=C1C=CC(=C2)S(=O)(=O)N3CCCC(C3)C(=O)N4CCN(CC4)C5=CC(=CC=C5)Cl
24980372,CC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)N3CCCC(C3)C(F)(F)F
18528944,CC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)OC)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O
1728278,CC1=CC=C(C=C1)C(=O)NC(=S)NNC(=O)C2=CC=CC=C2
2743870,C=CCN1C(=O)NN=C1SC2=NC=C(S2)[N+](=O)[O-]
6897952,CC1=CC=C(C=C1)S(=O)(=O)N/N=C/C2=CC=C(C=C2)OC3CSC3
6708701,C[C@]12C3CCC([C@]1(C(=O)OC2=O)C)O3
487737,COC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])O
3216691,COC1=CC(=C(C=C1)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C#C)OC
5983846,CC(C)C1=CC=C(C=C1)/C=C(\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4
6390973,CCCC1=NN2C(=N)/C(=C\C3=C(N(C(=C3)C)CC4=CC=CC=C4)C)/C(=O)N=C2S1
1883658,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NNC(=S)NC(=O)C3=C(C=C(C=C3)Cl)Cl
16396279,CCCCN=C[C@]12CCC(CC1(CCC3[C@@H]2CC[C@]4(C3(CC[C@H]4C5C=CC(=O)O5)O)C)O)O
5094315,CC1=CC=C(C=C1)NN2C(=O)C=C(C2=O)C3=CC=C(C=C3)Cl
4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
10363146,[B-](F)(F)(F)F.CC1=CC=C(C=C1)C2=CC(=[N+](O2)C)/C=C/C3=CC=C(C=C3)OC
3105194,CC1=CC(=CC=C1)C2(CC2C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])O)C4=CC=CC(=C4)C
9679312,C1=CC=C2C=C(C=CC2=C1)N/N=C/C3=CC=C(O3)[N+](=O)[O-]
2841126,CC1=CC(=C(C=C1)C(=O)CSC2=C(C(CC(=O)N2)C3=CC=CO3)C#N)C
3129671,C1COC2=C(O1)C=CC(=C2)C(=O)CCCC3=CC=CC=C3
977927,CCC1=CC\2=C(C=C1)NC(=O)/C2=C\C(=O)C3=CC=CS3
182785,CC(C)NC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23
5334025,CN(C1=CC=CC=C1)/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]
16014492,CCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC(=C3)C
135519935,COCCN=C1N(C(=CS1)C2=CC=CO2)/N=C/C3=C(C(=C(C=C3)O)O)O
4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F
6228509,COC1=CC(=C(C=C1)C(=O)/C=C/2\C3=CC=CC=C3NC2=O)OC
2726512,C1C2CC3CC1CC(C2)(C3)C(=O)NNC(=S)N
282274,C1=CC(=CC(=C1)Cl)NC(=O)C2=C(C=CC(=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl)O
935415,CC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3S2
16447016,CC1=CC(=CC=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)SC)Cl
2097287,C1CC1NC(=O)COC(=O)C2=CC=CC=C2C(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-]
135439903,CC1(CSC(=NCC2=CC=CC=C2)N1)C
16244880,CCCC[N+]1=C2C=CC=CC2=CC3=CC=CC=C31.[I-]
1847069,CCCC1=NC2=C(C(=O)C3=CC=CC=C3N2C)C(=O)N1C4CCCCCC4
5389617,C1=CC=C(C=C1)S(=O)(=O)C/C(=C/CO)/S(=O)(=O)C2=CC=CC=C2
2794916,C1CCC(CC1)N(C2=CC=CC=C2)C(=O)CCl
3830309,C1=CC=C(C=C1)C2C(=C(C(=O)N2C3=NC=CS3)O)C(=O)C4=CC5=CC=CC=C5O4
1719457,C1=CC(=CC(=C1)N2C(=O)C3=CC(=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-])[N+](=O)[O-])C(=O)O
24981266,CC1=C(SC2=NC=NC(=C12)N3CCC(CC3)C(=O)NC4=NC(=CS4)C5=CC(=C(C=C5)OC)OC)C
11646094,CC1=CC2=C(C=C1NC(=O)C(F)(F)F)N=C3C(=N2)C(=O)NC(=S)N3
1811199,CC1=CC(=CC(=C1S(=O)(=O)NCCOC2=CC=C(C=C2)C(C)(C)C)C)N3CCCC3=O
5431927,C/C(=N/NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3C(=O)C4=CC=CC=C4C3=O
1976940,C1=CC=C2C(=C1)N=C3N2C(=O)/C(=C\C4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)/S3
11905954,C1[C@@H]([C@H]1C(=O)NNC(=S)NC(=O)/C=C/C2=CC=C(C=C2)F)C3=CC=CC=C3
1238357,CC1=C(C(=C(N=C1C)SCC(=O)NC2=NC3=CC=CC=C3S2)C#N)C
3555173,COC1=CC=C(C=C1)C2C(C(=NN2C(=O)CCl)C3=CNC4=CC=CC=C43)O
